id,airport_name,country,city,code
1,Aleknagik / New Airport,US,Aleknagik,WKK
2,Ghost International Airport,AF,Khost,KHT
3,Honiara International Airport,SB,Honiara,HIR
4,Munda Airport,SB,Munda,MUA
5,Hongyuan Airport,CN,Ngawa (Hongyuan),AHJ
6,Nauru International Airport,NR,Yaren District,INU
7,Alxa Left Banner Bayanhot Airport,CN,Bayanhot,AXF
8,Buka Airport,PG,Buka Island,BUA
9,Chimbu Airport,PG,Kundiawa,CMU
10,Daru Airport,PG,Daru,DAU
11,Goroka Airport,PG,Goronka,GKA
12,Gurney Airport,PG,Gurney,GUR
13,Girua Airport,PG,Popondetta,PNP
14,Hoskins Airport,PG,Kimbe,HKN
15,Kerema Airport,PG,Kerema,KMA
16,Kavieng Airport,PG,Kavieng,KVG
17,Madang Airport,PG,Madang,MAG
18,Mount Hagen Kagamuga Airport,PG,Mount Hagen,HGU
19,Mendi Airport,PG,Mendi,MDU
20,Momote Airport,PG,Manus Island,MAS
21,Nadzab Airport,PG,Lae,LAE
22,Port Moresby Jacksons International Airport,PG,Port Moresby,POM
23,Tokua Airport,PG,Kokopo,RAB
24,Vanimo Airport,PG,Vanimo,VAI
25,Wapenamanda Airport,PG,Wapenamanda,WBM
26,Wewak International Airport,PG,Wewak,WWK
27,Zabrat Airport,AZ,Baku,ZXT
28,Benguera Island Airport,MZ,Benguera Island,BCW
29,Bezmer Air Base,BG,Bezmer,JAM
30,Aasiaat Airport,GL,Aasiaat,JEG
31,Narsarsuaq Airport,GL,Narsarsuaq,UAK
32,Nuuk Airport,GL,Nuuk,GOH
33,Ilulissat Airport,GL,Ilulissat,JAV
34,Kulusuk Airport,GL,Kulusuk,KUS
35,Kangerlussuaq Airport,GL,Kangerlussuaq,SFJ
36,Sisimiut Airport,GL,Sisimiut,JHS
37,Pituffik Space Base,GL,Pituffik,THU
38,Akureyri Airport,IS,Akureyri,AEY
39,Egilsstaðir Airport,IS,Egilsstaðir,EGS
40,Hornafjörður Airport,IS,Höfn,HFN
41,Húsavík Airport,IS,Húsavík,HZK
42,Ísafjörður Airport,IS,Ísafjörður,IFJ
43,Keflavik International Airport,IS,Reykjavík,KEF
44,Reykjavik Airport,IS,Reykjavik,RKV
45,Siglufjörður Airport,IS,Siglufjörður,SIJ
46,Vestmannaeyjar Airport,IS,Vestmannaeyjar,VEY
47,Priština Adem Jashari International Airport,XK,Prishtina,PRN
48,Glauber de Andrade Rocha Airport,BR,Vitória da Conquista,VDC
49,Betong International Airport,TH,Betong,BTZ
50,Orsha Airport - Balbasovo Air Base,BY,Orsha,TXC
51,Caye Caulker Airport,BZ,Caye Caulker,CUK
52,Caye Chapel Airport,BZ,Caye Chapel,CYC
53,Corozal Airport,BZ,Corozal,CZH
54,Dangriga Airport,BZ,Dangriga,DGA
55,Placencia Airport,BZ,Placencia,PLJ
56,Punta Gorda Airport,BZ,Punta Gorda,PND
57,Sartaneja Airport,BZ,Sartaneja,SJX
58,John Greif II Airport,BZ,San Pedro,SPR
59,Sir Barry Bowen Municipal Airport,BZ,Belize City,TZA
60,Bazaruto Island Airport,MZ,Bazaruto Island,BZB
61,Anahim Lake Airport,CA,Anahim Lake,YAA
62,Qualicum Beach Airport,CA,Qualicum Beach,XQU
63,Cache Creek-Ashcroft Regional Airport,CA,Cache Creek,YZA
64,Bella Bella (Campbell Island) Airport,CA,Bella Bella,ZEL
65,Nuevo Chaitén Airport,CL,Chaitén,WCH
66,Yuanmou Air Base,CN,Chuxiong (Yuanmou),YUA
67,Zhangjiakou Ningyuan Airport,CN,Zhangjiakou,ZQZ
68,Baoshan Yunrui Airport,CN,Baoshan (Longyang),BSD
69,Lincang Boshang Airport,CN,Lincang,LNJ
70,Xigaze Peace Airport / Shigatse Air Base,CN,Xigazê (Samzhubzê),RKZ
71,Panzhihua Bao'anying Airport,CN,Panzhihua (Renhe),PZI
72,Foshan Shadi Airport,CN,Foshan (Nanhai),FUO
73,Xinyang Minggang Airport,CN,Xinyang,XAI
74,Huizhou Pingtan Airport,CN,Huizhou (Pingtan),HUZ
75,Shaoguan Danxia Airport,CN,Shaoguan,HSC
76,Jinggangshan Airport,CN,Ji'an,JGS
77,Baise (Bose) Bama Airport,CN,Baise (Tianyang),AEB
78,Lianyungang Huaguoshan International Airport,CN,Lianyungang,LYG
79,Dongying Shengli Airport,CN,Dongying (Kenli),DOY
80,Xingcheng Air Base,CN,Huludao (Xingcheng),XEN
81,Altay Xuedu Airport,CN,Altay,AAT
82,Tianshui Maijishan Airport,CN,Tianshui (Maiji),THQ
83,Wuhan Hannan Municipal Airport,CN,Wuhan (Hannan),WHN
84,Beijing Nanjiao Airport,CN,Beijing,NAY
85,Dandong Langtou Airport,CN,Dandong (Zhenxing),DDG
86,Rikaze Dingri Airport,CN,Xigazê (Dingri),DDR
87,Tashikuergan Hongqilafu Airport,CN,Tashikuergan,HQL
88,Zhanjiang Wuchuan Airport,CN,Zhanjiang,ZHA
89,Ali Pulan Airport,CN,Burang Town,APJ
90,Nantong Xingdong International Airport,CN,Nantong (Tongzhou),NTG
91,Lefkoniko Airport / Geçitkale Air Base,CY,Lefkoniko (Geçitkale),GEC
92,Fort Frances Municipal Airport,CA,Fort Frances,YAG
93,La Grande-4 Airport,CA,La Grande-4,YAH
94,Sault Ste Marie Airport,CA,Sault Ste Marie,YAM
95,Kasabonika Airport,CA,Kasabonika,XKS
96,St. Anthony Airport,CA,St. Anthony,YAY
97,Tofino / Long Beach Airport,CA,Tofino,YAZ
98,Baie-Comeau Airport,CA,Baie-Comeau,YBC
99,Bella Coola Airport,CA,Bella Coola,QBC
100,Bonnyville Airport,CA,Bonnyville,YBY
101,CFB Bagotville / Saguenay-Bagotville Airport,CA,La Baie,YBG
102,Baker Lake Airport,CA,Baker Lake,YBK
103,Campbell River Airport,CA,Campbell River,YBL
104,Brandon Municipal Airport,CA,Brandon,YBR
105,Lourdes-de-Blanc-Sablon Airport,CA,Blanc-Sablon,YBX
106,Cambridge Bay Airport,CA,Cambridge Bay,YCB
107,Cornwall Regional Airport,CA,Cornwall,YCC
108,Nanaimo Airport,CA,Nanaimo,YCD
109,Centralia / James T. Field Memorial Aerodrome,CA,Huron Park,YCE
110,Castlegar/West Kootenay Regional Airport,CA,Castlegar,YCG
111,Miramichi Airport,CA,Miramichi,YCH
112,Charlo Airport,CA,Charlo,YCL
113,Cochrane Airport,CA,Cochrane,YCN
114,Chetwynd Airport,CA,Chetwynd,YCQ
115,Dawson City Airport,CA,Dawson City,YDA
116,Burwash Airport,CA,Burwash Landing,YDB
117,Deer Lake Airport,CA,Deer Lake,YDF
118,Ross River Airport,CA,Ross River,XRR
119,Dauphin Barker Airport,CA,Dauphin,YDN
120,Dolbeau-Saint-Felicien Airport,CA,Dolbeau-Saint-Felicien,YDO
121,Dawson Creek Airport,CA,Dawson Creek,YDQ
122,Edmonton International Airport,CA,Edmonton,YEG
123,Elliot Lake Municipal Airport,CA,Elliot Lake,YEL
124,Manitoulin East Municipal Airport,CA,Sheguiandah,YEM
125,Estevan Airport,CA,Estevan,YEN
126,Edson Airport,CA,Edson,YET
127,Inuvik Mike Zubko Airport,CA,Inuvik,YEV
128,Amos/Magny Airport,CA,Amos,YEY
129,Iqaluit Airport,CA,Iqaluit,YFB
130,Fredericton Airport,CA,Fredericton,YFC
131,Forestville Airport,CA,Forestville,YFE
132,Mont-Tremblant International Airport,CA,La Macaza,YTM
133,Fort Resolution Airport,CA,Fort Resolution,YFR
134,Fort Simpson Airport,CA,Fort Simpson,YFS
135,Kingston Norman Rogers Airport,CA,Kingston,YGK
136,La Grande Rivière Airport,CA,La Grande Rivière,YGL
137,Gimli Industrial Park Airport,CA,Gimli,YGM
138,Michel-Pouliot Gaspé Airport,CA,Gaspé,YGP
139,Geraldton Greenstone Regional Airport,CA,Geraldton,YGQ
140,Îles-de-la-Madeleine Airport,CA,Les Îles-de-la-Madeleine,YGR
141,Havre-Saint-Pierre Airport,CA,Havre-Saint-Pierre,YGV
142,Kuujjuarapik Airport,CA,Kuujjuarapik,YGW
143,Dryden Regional Airport,CA,Dryden,YHD
144,Hearst René Fontaine Municipal Airport,CA,Hearst,YHF
145,John C. Munro Hamilton International Airport,CA,Hamilton,YHM
146,Hornepayne Municipal Airport,CA,Hornepayne,YHN
147,Haines Junction Airport,CA,Haines Junction,YHT
148,Montréal / Saint-Hubert Airport,CA,Montréal,YHU
149,Hay River / Merlyn Carter Airport,CA,Hay River,YHY
150,Halifax / Stanfield International Airport,CA,Halifax,YHZ
151,Atikokan Municipal Airport,CA,Atikokan,YIB
152,Digby / Annapolis Regional Airport,CA,Digby,YDG
153,St Augustin Airport,CA,St-Augustin,YIF
154,Island Lake Airport,CA,Island Lake,YIV
155,Fort Liard Airport,CA,Fort Liard,YJF
156,St Jean Airport,CA,St Jean,YJN
157,Dymond Airport,CA,Stephenville,YJT
158,Kamloops John Moose Fulton Field Regional Airport,CA,Kamloops,YKA
159,Region of Waterloo International Airport,CA,Breslau,YKF
160,Key Lake Airport,CA,Key Lake,YKJ
161,Schefferville Airport,CA,Schefferville,YKL
162,Kincardine Municipal Airport,CA,Kincardine,YKD
163,Kirkland Lake Airport,CA,Kirkland Lake,YKX
164,Kindersley Airport,CA,Kindersley,YKY
165,Chapleau Airport,CA,Chapleau,YLD
166,Meadow Lake Airport,CA,Meadow Lake,YLJ
167,Lloydminster Airport,CA,Lloydminster,YLL
168,Leaf Rapids Airport,CA,Leaf Rapids,YLR
169,Barrie-Lake Simcoe Regional Airport,CA,Barrie,YLK
170,Alert Airport,CA,Alert,YLT
171,Kelowna International Airport,CA,Kelowna,YLW
172,Mayo Airport,CA,Mayo,YMA
173,Matane Airport,CA,Matane,YME
174,Manitouwadge Airport,CA,Manitouwadge,YMG
175,Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,Moose Jaw,YMJ
176,Charlevoix Airport,CA,Charlevoix,YML
177,Fort McMurray Airport,CA,Fort McMurray,YMM
178,Moosonee Airport,CA,Moosonee,YMO
179,Chapais Airport,CA,Chibougamau,YMT
180,Montreal International (Mirabel) Airport,CA,Montréal,YMX
181,Natashquan Airport,CA,Natashquan,YNA
182,Ottawa / Gatineau Airport,CA,Gatineau,YND
183,Langley Airport,CA,Langley,YLY
184,Points North Landing Airport,CA,Points North Landing,YNL
185,Matagami Airport,CA,Matagami,YNM
186,Ekati Airport,CA,Ekati,YOA
187,CFB Cold Lake,CA,Cold Lake,YOD
188,High Level Airport,CA,High Level,YOJ
189,Oshawa Executive Airport,CA,Oshawa,YOO
190,Rainbow Lake Airport,CA,Rainbow Lake,YOP
191,Owen Sound / Billy Bishop Regional Airport,CA,Owen Sound,YOS
192,Ottawa Macdonald-Cartier International Airport,CA,Ottawa,YOW
193,Prince Albert Glass Field,CA,Prince Albert,YPA
194,Port Hawkesbury Airport,CA,Port Hawkesbury,YPS
195,Peace River Airport,CA,Peace River,YPE
196,Portage-la-Prairie / Southport Airport,CA,Portage la Prairie,YPG
197,Pickle Lake Airport,CA,Pickle Lake,YPL
198,Port-Menier Airport,CA,Port-Menier,YPN
199,Peterborough Municipal Airport,CA,Peterborough,YPQ
200,Prince Rupert Airport,CA,Prince Rupert,YPR
201,Powell River Airport,CA,Powell River,YPW
202,Puvirnituq Airport,CA,Puvirnituq,YPX
203,Fort Chipewyan Airport,CA,Fort Chipewyan,YPY
204,Burns Lake Airport,CA,Burns Lake,YPZ
205,Muskoka Airport,CA,Gravenhurst,YQA
206,Quebec Jean Lesage International Airport,CA,Quebec,YQB
207,The Pas Airport,CA,The Pas,YQD
208,Red Deer Regional Airport,CA,Springbrook,YQF
209,Windsor Airport,CA,Windsor,YQG
210,Watson Lake Airport,CA,Watson Lake,YQH
211,Yarmouth Airport,CA,Yarmouth,YQI
212,Kenora Airport,CA,Kenora,YQK
213,Lethbridge County Airport,CA,Lethbridge,YQL
214,Greater Moncton Roméo LeBlanc International Airport,CA,Moncton,YQM
215,Nakina Airport,CA,Nakina,YQN
216,Comox Valley Airport / CFB Comox,CA,Comox,YQQ
217,Regina International Airport,CA,Regina,YQR
218,St Thomas Municipal Airport,CA,St Thomas,YQS
219,Thunder Bay Airport,CA,Thunder Bay,YQT
220,Grande Prairie Airport,CA,Grande Prairie,YQU
221,Yorkton Municipal Airport,CA,Yorkton,YQV
222,North Battleford Airport,CA,North Battleford,YQW
223,Gander International Airport / CFB Gander,CA,Gander,YQX
224,Sydney / J.A. Douglas McCurdy Airport,CA,Sydney,YQY
225,Quesnel Airport,CA,Quesnel,YQZ
226,Resolute Bay Airport,CA,Resolute Bay,YRB
227,Rivière-du-Loup Airport,CA,Rivière-du-Loup,YRI
228,Roberval Airport,CA,Roberval,YRJ
229,Red Lake Airport,CA,Red Lake,YRL
230,Ottawa / Rockcliffe Airport,CA,Ottawa,YRO
231,Trois-Rivières Airport,CA,Trois-Rivières,YRQ
232,Rankin Inlet Airport,CA,Rankin Inlet,YRT
233,Revelstoke Airport,CA,Revelstoke,YRV
234,Sudbury Airport,CA,Sudbury,YSB
235,Sherbrooke Airport,CA,Sherbrooke,YSC
236,Stony Rapids Airport,CA,Stony Rapids,YSF
237,Smiths Falls-Montague (Russ Beach) Airport,CA,Smiths Falls,YSH
238,Saint John Airport,CA,Saint John,YSJ
239,Saint-Léonard Airport,CA,Saint-Léonard,YSL
240,Fort Smith Airport,CA,Fort Smith,YSM
241,Niagara District Airport,CA,Niagara-on-the-Lake,YCM
242,Marathon Airport,CA,Marathon,YSP
243,Summerside Airport,CA,Slemon Park,YSU
244,Pembroke Airport,CA,Pembroke,YTA
245,Alma Airport,CA,Alma,YTF
246,Thompson Airport,CA,Thompson,YTH
247,CFB Trenton,CA,Trenton,YTR
248,Timmins/Victor M. Power,CA,Timmins,YTS
249,Billy Bishop Toronto City Centre Airport,CA,Toronto,YTZ
250,Montreal / Pierre Elliott Trudeau International Airport,CA,Montréal,YUL
251,Hall Beach Airport,CA,Sanirajak,YUX
252,Rouyn Noranda Airport,CA,Rouyn-Noranda,YUY
253,Bonaventure Airport,CA,Bonaventure,YVB
254,La Ronge Airport,CA,La Ronge,YVC
255,Vernon Regional Airport,CA,Vernon,YVE
256,Val-d'Or Airport,CA,Val-d'Or,YVO
257,Kuujjuaq Airport,CA,Kuujjuaq,YVP
258,Norman Wells Airport,CA,Norman Wells,YVQ
259,Vancouver International Airport,CA,Vancouver,YVR
260,Wiarton Airport,CA,Wiarton,YVV
261,Petawawa Airport,CA,Petawawa,YWA
262,Winnipeg / James Armstrong Richardson International Airport,CA,Winnipeg,YWG
263,Wabush Airport,CA,Wabush,YWK
264,Williams Lake Airport,CA,Williams Lake,YWL
265,Wrigley Airport,CA,Wrigley,YWY
266,Cranbrook/Canadian Rockies International Airport,CA,Cranbrook,YXC
267,Saskatoon John G. Diefenbaker International Airport,CA,Saskatoon,YXE
268,Medicine Hat Regional Airport,CA,Medicine Hat,YXH
269,Fort St John / North Peace Regional Airport,CA,Fort Saint John,YXJ
270,Rimouski Airport,CA,Rimouski,YXK
271,Sioux Lookout Airport,CA,Sioux Lookout,YXL
272,Beaver Creek Airport,CA,Beaver Creek,YXQ
273,Earlton (Timiskaming Regional) Airport,CA,Earlton,YXR
274,Prince George Airport,CA,Prince George,YXS
275,Northwest Regional Airport Terrace-Kitimat,CA,Terrace,YXT
276,London Airport,CA,London,YXU
277,Abbotsford International Airport,CA,Abbotsford,YXX
278,Whitehorse / Erik Nielsen International Airport,CA,Whitehorse,YXY
279,Wawa Airport,CA,Wawa,YXZ
280,North Bay Jack Garland Airport,CA,North Bay,YYB
281,Calgary International Airport,CA,Calgary,YYC
282,Smithers Airport,CA,Smithers,YYD
283,Fort Nelson Airport,CA,Fort Nelson,YYE
284,Penticton Airport,CA,Penticton,YYF
285,Charlottetown Airport,CA,Charlottetown,YYG
286,Victoria International Airport,CA,Victoria,YYJ
287,Lynn Lake Airport,CA,Lynn Lake,YYL
288,Swift Current Airport,CA,Swift Current,YYN
289,Churchill Airport,CA,Churchill,YYQ
290,Goose Bay Airport,CA,Goose Bay,YYR
291,St. John's International Airport,CA,St. John's,YYT
292,Kapuskasing Airport,CA,Kapuskasing,YYU
293,Armstrong Airport,CA,Armstrong,YYW
294,Mont Joli Airport,CA,Mont-Joli,YYY
295,Toronto Lester B. Pearson International Airport,CA,Toronto,YYZ
296,Gore Bay Manitoulin Airport,CA,Gore Bay,YZE
297,Yellowknife International Airport,CA,Yellowknife,YZF
298,Slave Lake Airport,CA,Slave Lake,YZH
299,Sandspit Airport,CA,Sandspit,YZP
300,Chris Hadfield Airport,CA,Sarnia,YZR
301,Coral Harbour Airport,CA,Coral Harbour,YZS
302,Port Hardy Airport,CA,Port Hardy,YZT
303,Whitecourt Airport,CA,Whitecourt,YZU
304,Sept-Îles Airport,CA,Sept-Îles,YZV
305,Teslin Airport,CA,Teslin,YZW
306,CFB Greenwood,CA,Greenwood,YZX
307,Shuswap Regional Airport,CA,Salmon Arm,YSN
308,Boundary Bay Airport,CA,Delta,YDT
309,Bathurst Airport,CA,South Tetagouche,ZBF
310,Bromont (Roland Désourdy) Airport,CA,Bromont,ZBM
311,Kelsey Airport,CA,Kelsey,KES
312,Faro Airport,CA,Faro,ZFA
313,Grand Forks Airport,CA,Grand Forks,ZGF
314,Jenpeg Airport,CA,Jenpeg,ZJG
315,Swan River Airport,CA,Swan River,ZJN
316,Thicket Portage Airport,CA,Thicket Portage,YTD
317,Pikwitonei Airport,CA,Pikwitonei,PIW
318,Masset Airport,CA,Masset,ZMT
319,Pincher Creek Airport,CA,Pincher Creek,WPC
320,Sandy Lake Airport,CA,Sandy Lake,ZSJ
321,Stewart Airport,CA,Stewart,ZST
322,Ignace Municipal Airport,CA,Ignace,ZUC
323,Blida Airport,DZ,Blida,QLD
324,Bou Saada Airport,DZ,Ouled Sidi Brahim,BUJ
325,Soummam–Abane Ramdane Airport,DZ,Béjaïa,BJA
326,Houari Boumediene Airport,DZ,Algiers,ALG
327,Djanet Inedbirene Airport,DZ,Djanet,DJG
328,Illizi Takhamalt Airport,DZ,Illizi,VVZ
329,Ain Arnat Airport,DZ,Sétif,QSF
330,Aguenar – Hadj Bey Akhamok Airport,DZ,Tamanrasset,TMR
331,Jijel Ferhat Abbas Airport,DZ,Tahir,GJL
332,Mecheria Airport,DZ,Mecheria,MZW
333,Annaba Rabah Bitat Airport,DZ,Annaba,AAE
334,Mohamed Boudiaf International Airport,DZ,Constantine,CZL
335,Cheikh Larbi Tébessi Airport,DZ,Tébessi,TEE
336,Batna Mostefa Ben Boulaid Airport,DZ,Batna,BLJ
337,Hassi R'Mel Airport,DZ,Hassi R'Mel,HRM
338,Abdelhafid Boussouf Bou Chekif Airport,DZ,Tiaret,TID
339,Tindouf Airport,DZ,Tindouf,TIN
340,Chlef Aboubakr Belkaid International Airport,DZ,Chlef,CFK
341,Oran Tafraoui Airport,DZ,Tafraoui,TAF
342,Zenata – Messali El Hadj Airport,DZ,Zenata,TLM
343,Oran Es-Sénia (Ahmed Ben Bella) International Airport,DZ,Es-Sénia,ORN
344,Béchar Boudghene Ben Ali Lotfi Airport,DZ,Béchar,CBH
345,Ghriss Airport,DZ,Ghriss,MUW
346,Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,Adrar,AZR
347,Biskra - Mohamed Khider Airport,DZ,Biskra,BSK
348,El Golea Airport,DZ,El Menia,ELG
349,Noumérat - Moufdi Zakaria Airport,DZ,El Atteuf,GHA
350,Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,Hassi Messaoud,HME
351,In Salah Airport,DZ,In Salah,INZ
352,Touggourt Sidi Madhi Airport,DZ,Touggourt,TGR
353,Laghouat - Molay Ahmed Medeghri Airport,DZ,Laghouat,LOO
354,Guemar Airport,DZ,Guemar,ELU
355,Timimoun Airport,DZ,Timimoun,TMX
356,Ain Beida Airport,DZ,Ouargla,OGX
357,Zarzaitine - In Aménas Airport,DZ,In Aménas,IAM
358,Cadjehoun Airport,BJ,Cotonou,COO
359,Baicheng Chang'an Airport,CN,Baicheng,DBC
360,Ouagadougou Airport,BF,Ouagadougou,OUA
361,Bobo Dioulasso Airport,BF,Bobo Dioulasso,BOY
362,Kotoka International Airport,GH,Accra,ACC
363,Tamale Airport,GH,Tamale,TML
364,Kumasi Airport,GH,Kumasi,KMS
365,Sunyani Airport,GH,Sunyani,NYI
366,Takoradi Airport,GH,Sekondi-Takoradi,TKD
367,Félix-Houphouët-Boigny International Airport,CI,Abidjan,ABJ
368,Bouaké Airport,CI,Bouaké,BYK
369,Korhogo Airport,CI,Korhogo,HGO
370,Yamoussoukro Airport,CI,Yamoussoukro,ASK
371,Nnamdi Azikiwe International Airport,NG,Abuja,ABV
372,Akwa Ibom International Airport,NG,Uyo,QUO
373,Akure Airport,NG,Akure,AKR
374,Asaba International Airport,NG,Asaba,ABB
375,Sir Abubakar Tafawa Balewa International Airport,NG,Bauchi,BCU
376,Benin Airport,NG,Benin,BNI
377,Margaret Ekpo International Airport,NG,Calabar,CBQ
378,Akanu Ibiam International Airport,NG,Enegu,ENU
379,Gusau Airport,NG,Gusau,QUS
380,Ibadan Airport,NG,Ibadan,IBA
381,Ilorin International Airport,NG,Ilorin,ILR
382,Sam Mbakwe International Airport,NG,Owerri,QOW
383,Yakubu Gowon Airport,NG,Jos,JOS
384,Kaduna Airport,NG,Kaduna,KAD
385,Mallam Aminu International Airport,NG,Kano,KAN
386,Maiduguri International Airport,NG,Maiduguri,MIU
387,Makurdi Airport,NG,Makurdi,MDI
388,Murtala Muhammed International Airport,NG,Lagos,LOS
389,Minna Airport,NG,Minna,MXJ
390,Port Harcourt International Airport,NG,Port Harcourt,PHC
391,Sadiq Abubakar III International Airport,NG,Sokoto,SKO
392,Yola Airport,NG,Yola,YOL
393,Zaria Airport,NG,Zaria,ZAR
394,Maradi Airport,NE,Maradi,MFQ
395,Diori Hamani International Airport,NE,Niamey,NIM
396,Tahoua Airport,NE,Tahoua,THZ
397,Mano Dayak International Airport,NE,Agadez,AJY
398,Zinder Airport,NE,Zinder,ZND
399,Tabarka-Aïn Draham International Airport,TN,Tabarka,TBJ
400,Monastir Habib Bourguiba International Airport,TN,Monastir,MIR
401,Enfidha - Hammamet International Airport,TN,Enfidha,NBE
402,Tunis Carthage International Airport,TN,Tunis,TUN
403,Gafsa Ksar International Airport,TN,Gafsa,GAF
404,Gabès Matmata International Airport,TN,Gabès,GAE
405,Djerba Zarzis International Airport,TN,Mellita,DJE
406,El Borma Airport,TN,El Borma,EBM
407,Sfax Thyna International Airport,TN,Sfax,SFA
408,Tozeur Nefta International Airport,TN,Tozeur,TOE
409,Niamtougou International Airport,TG,Niamtougou,LRL
410,Lomé–Tokoin International Airport,TG,Lomé,LFW
411,Dazhou Jinya Airport,CN,Dazhou (Dachuan),DZH
412,Antwerp International Airport (Deurne),BE,Antwerp,ANR
413,Brussels Airport,BE,Zaventem,BRU
414,Brussels South Charleroi Airport,BE,Charleroi,CRL
415,Flanders International Airport Kortrijk-Wevelgem,BE,Wevelgem,KJK
416,Liège Airport,BE,Grâce-Hollogne,LGG
417,Oostende-Brugge International Airport,BE,Oostende,OST
418,Leipzig–Altenburg Airport,DE,Nobitz,AOC
419,Heringsdorf Airport,DE,Zirchow,HDF
420,Neubrandenburg Trollenhagen Airport,DE,Trollenhagen,FNB
421,Berlin Brandenburg Airport,DE,Berlin,BER
422,Dresden Airport,DE,Dresden,DRS
423,Erfurt-Weimar Airport,DE,Erfurt,ERF
424,Frankfurt Airport,DE,Frankfurt am Main,FRA
425,Münster Osnabrück Airport,DE,Greven,FMO
426,Hamburg Helmut Schmidt Airport,DE,Hamburg,HAM
427,Cologne Bonn Airport,DE,Köln (Cologne),CGN
428,Düsseldorf Airport,DE,Düsseldorf,DUS
429,Munich Airport,DE,Munich,MUC
430,Nuremberg Airport,DE,Nuremberg,NUE
431,Leipzig/Halle Airport,DE,Schkeuditz,LEJ
432,Saarbrücken Airport,DE,Saarbrücken,SCN
433,Stuttgart Airport,DE,Stuttgart,STR
434,Hannover Airport,DE,Hannover,HAJ
435,Bremen Airport,DE,Bremen,BRE
436,Frankfurt-Hahn Airport,DE,Frankfurt am Main (Lautzenhausen),HHN
437,Mannheim-City Airport,DE,Mannheim,MHG
438,Eisenach-Kindel Airport,DE,Hörselberg-Hainich,EIB
439,Siegerland Airport,DE,Burbach,SGE
440,Hamburg-Finkenwerder Airport,DE,Hamburg,XFW
441,Kiel-Holtenau Airport,DE,Kiel,KEL
442,Lübeck Blankensee Airport,DE,Lübeck,LBC
443,Memmingen Allgau Airport,DE,Memmingen,FMM
444,Mönchengladbach Airport,DE,Mönchengladbach,MGL
445,Paderborn Lippstadt Airport,DE,Büren,PAD
446,Weeze Airport,DE,Weeze,NRN
447,Dortmund Airport,DE,Dortmund,DTM
448,Augsburg Airport,DE,Augsburg,AGB
449,Oberpfaffenhofen Airport,DE,Weßling,OBF
450,Friedrichshafen Airport,DE,Friedrichshafen,FDH
451,Bayreuth Airport,DE,Bindlach,BYU
452,Hof-Plauen Airport,DE,Hof,HOQ
453,Karlsruhe Baden-Baden Airport,DE,Rheinmünster,FKB
454,Lahr Airport,DE,Lahr/Schwarzwald,LHA
455,Braunschweig-Wolfsburg Airport,DE,Braunschweig,BWE
456,Kassel Airport,DE,Calden,KSF
457,Westerland Sylt Airport,DE,Sylt,GWT
458,Kärdla Airport,EE,Kärdla,KDL
459,Kuressaare Airport,EE,Kuressaare,URE
460,Pärnu Airport,EE,Pärnu,EPU
461,Berenice International Airport / Banas Cape Air Base,EG,Berenice Troglodytica,EES
462,Lennart Meri Tallinn Airport,EE,Tallinn,TLL
463,Tartu Airport,EE,Tartu,TAY
464,Enontekio Airport,FI,Enontekio,ENF
465,Halli Airport,FI,Jämsä,KEV
466,Helsinki Vantaa Airport,FI,Helsinki,HEL
467,Kitee Airport,FI,Kitee,KTQ
468,Ivalo Airport,FI,Ivalo,IVL
469,Joensuu Airport,FI,Joensuu,JOE
470,Jyväskylä Airport,FI,Jyväskylän Maalaiskunta,JYV
471,Kauhava Airfield,FI,Kauhava,KAU
472,Kemi-Tornio Airport,FI,Kemi / Tornio,KEM
473,Kajaani Airport,FI,Kajaani,KAJ
474,Kokkola-Pietarsaari Airport,FI,Kokkola / Kruunupyy,KOK
475,Kuusamo Airport,FI,Kuusamo,KAO
476,Kittilä Airport,FI,Kittilä,KTT
477,Kuopio Airport,FI,Kuopio / Siilinjärvi,KUO
478,Lappeenranta Airport,FI,Lappeenranta,LPP
479,Mariehamn Airport,FI,Mariehamn,MHQ
480,Mikkeli Airport,FI,Mikkeli,MIK
481,Oulu Airport,FI,Oulu / Oulunsalo,OUL
482,Pori Airport,FI,Pori,POR
483,Rovaniemi Airport,FI,Rovaniemi,RVN
484,Savonlinna Airport,FI,Savonlinna,SVL
485,Seinäjoki Airport,FI,Seinäjoki / Ilmajoki,SJY
486,Sodankyla Airport,FI,Sodankyla,SOT
487,Tampere-Pirkkala Airport,FI,Tampere / Pirkkala,TMP
488,Turku Airport,FI,Turku,TKU
489,Utti Air Base,FI,Utti / Valkeala,UTI
490,Vaasa Airport,FI,Vaasa,VAA
491,Varkaus Airport,FI,Varkaus / Joroinen,VRK
492,Belfast International Airport,GB,Belfast,BFS
