id,airport_name,country,city,code
2434,Frank Pais International Airport,CU,Holguin,HOG
2435,Kawama Airport,CU,Santa Marta,VRO
2436,La Coloma Airport,CU,Pinar del Rio,LCL
2437,Orestes Acosta Airport,CU,Moa,MOA
2438,Sierra Maestra International Airport,CU,Manzanillo,MZO
2439,Rafael Cabrera Airport,CU,Nueva Gerona,GER
2440,Playa Baracoa Airport,CU,Havana,UPB
2441,Abel Santamaria Airport,CU,Santa Clara,SNU
2442,San Julián Air Base,CU,Sandino,SNJ
2443,Siguanea Airport,CU,Isla de la Juventud,SZJ
2444,Alberto Delgado Airport,CU,Trinidad,TND
2445,Juan Gualberto Gomez International Airport,CU,Matanzas,VRA
2446,Hermanos Ameijeiras Airport,CU,Las Tunas,VTU
2447,Charles Kirkconnell International Airport,KY,West End,CYB
2448,Edward Bodden Little Cayman Airfield,KY,Blossom Village,LYB
2449,Owen Roberts International Airport,KY,George Town,GCM
2450,Clarence A. Bain Airport,BS,Mangrove Cay,MAY
2451,Congo Town Airport,BS,Andros,TZN
2452,Leonard M Thompson International Airport,BS,Marsh Harbour,MHH
2453,San Andros Airport,BS,Andros Island,SAQ
2454,Spring Point Airport,BS,Spring Point,AXP
2455,Treasure Cay Airport,BS,Treasure Cay,TCB
2456,Great Harbour Cay Airport,BS,Bullocks Harbour,GHC
2457,South Bimini Airport,BS,South Bimini,BIM
2458,Arthur's Town Airport,BS,Arthur's Town,ATC
2459,New Bight Airport,BS,Cat Island,TBI
2460,Colonel Hill Airport,BS,Colonel Hill,CRI
2461,Exuma International Airport,BS,Moss Town,GGT
2462,North Eleuthera Airport,BS,North Eleuthera,ELH
2463,Governor's Harbour Airport,BS,Governor's Harbour,GHB
2464,Normans Cay Airport,BS,Normans Cay,NMC
2465,Rock Sound Airport,BS,Rock Sound,RSD
2466,Grand Bahama International Airport,BS,Freeport,FPO
2467,Inagua Airport,BS,Matthew Town,IGA
2468,Deadman's Cay Airport,BS,Deadman's Cay,LGI
2469,Stella Maris Airport,BS,Stella Maris,SML
2470,Mayaguana Airport,BS,Abrahams Bay,MYG
2471,Lynden Pindling International Airport,BS,Nassau,NAS
2472,San Salvador Airport,BS,San Salvador,ZSA
2473,Philip S. W. Goldson International Airport,BZ,Belize City,BZE
2474,Changbaishan Airport,CN,Baishan,NBS
2475,Rarotonga International Airport,CK,Avarua,RAR
2476,Nadi International Airport,FJ,Nadi,NAN
2477,Nausori International Airport,FJ,Nausori,SUV
2478,Labasa Airport,FJ,Labasa,LBS
2479,Fua'amotu International Airport,TO,Nuku'alofa,TBU
2480,Lifuka Island Airport,TO,Lifuka,HPA
2481,Vava'u International Airport,TO,Vava'u Island,VAV
2482,Gombe Lawanti International Airport,NG,Gombe,GMO
2483,Warri Airport,NG,Warri,QRW
2484,Funafuti International Airport,TV,Funafuti,FUN
2485,Bonriki International Airport,KI,Tarawa,TRW
2486,Niue International Airport,NU,Alofi,IUE
2487,Ninglang Luguhu Airport,CN,Ninglang,NLH
2488,Hihifo Airport,WF,Wallis Island,WLS
2489,Pokhara International Airport,NP,Pokhara,PKR
2490,Faleolo International Airport,WS,Apia,APW
2491,Pago Pago International Airport,AS,Pago Pago,PPG
2492,Faa'a International Airport,PF,Papeete,PPT
2493,Anaa Airport,PF,Anaa,AAA
2494,Fangatau Airport,PF,Fangatau,FGU
2495,Reao Airport,PF,Reao,REA
2496,Kaukura Airport,PF,Raitahiti,KKR
2497,Makemo Airport,PF,Makemo,MKP
2498,Ahe Airport,PF,Ahe Atoll,AHE
2499,Nuku Hiva Airport,PF,Nuku Hiva,NHV
2500,Hiva Oa-Atuona Airport,PF,Hiva Oa Island,AUQ
2501,Bora Bora Airport,PF,Motu Mute,BOB
2502,Huahine-Fare Airport,PF,Fare,HUH
2503,Moorea Temae Airport,PF,Moorea-Maiao,MOZ
2504,Hao Airport,PF,Otepa,HOI
2505,Raiatea Airport,PF,Uturoa,RFP
2506,Gaua Island Airport,VU,Gaua Island,ZGU
2507,Santo Pekoa International Airport,VU,Luganville,SON
2508,Bauerfield International Airport,VU,Port Vila,VLI
2509,Tiga Airport,NC,Tiga,TGJ
2510,Koné Airport,NC,Koné,KNQ
2511,Île des Pins Airport,NC,Île des Pins,ILP
2512,Lifou Airport,NC,Lifou,LIF
2513,Nouméa Magenta Airport,NC,Nouméa,GEA
2514,Maré Airport,NC,Maré,MEE
2515,Touho Airport,NC,Touho,TOU
2516,Ouvéa Airport,NC,Ouvéa,UVE
2517,La Tontouta International Airport,NC,Nouméa (La Tontouta),NOU
2518,Auckland International Airport,NZ,Auckland,AKL
2519,Taupo Airport,NZ,Taupo,TUO
2520,Ardmore Airport,NZ,Manurewa,AMZ
2521,Christchurch International Airport,NZ,Christchurch,CHC
2522,Chatham Islands / Tuuta Airport,NZ,Te One,CHT
2523,Dunedin International Airport,NZ,Dunedin,DUD
2524,Gisborne Airport,NZ,Gisborne,GIS
2525,Glentanner Airport,NZ,Glentanner Station,GTN
2526,Hamilton International Airport,NZ,Hamilton,HLZ
2527,Kerikeri Airport,NZ,Kerikeri,KKE
2528,Kaitaia Airport,NZ,Awanui,KAT
2529,Alexandra Aerodrome,NZ,Alexandra,ALR
2530,Hood Airport,NZ,Masterton,MRO
2531,New Plymouth Airport,NZ,New Plymouth,NPL
2532,Hawke's Bay Airport,NZ,Napier,NPE
2533,Nelson Airport,NZ,Nelson,NSN
2534,Invercargill Airport,NZ,Invercargill,IVC
2535,Palmerston North Airport,NZ,Palmerston North,PMR
2536,Queenstown International Airport,NZ,Queenstown,ZQN
2537,Rotorua Regional Airport,NZ,Rotorua,ROT
2538,Tauranga Airport,NZ,Tauranga,TRG
2539,Pukaki Airport,NZ,Twitzel,TWZ
2540,Woodbourne Airport,NZ,Blenheim,BHE
2541,Wanaka Airport,NZ,Wanaka,WKA
2542,Wellington International Airport,NZ,Wellington,WLG
2543,Wairoa Airport,NZ,Wairoa,WIR
2544,Whangarei Airport,NZ,Whangarei,WRE
2545,Westport Airport,NZ,Westport,WSZ
2546,Wanganui Airport,NZ,Wanganui,WAG
2547,Herat - Khwaja Abdullah Ansari International Airport,AF,Guzara,HEA
2548,Bagram Airfield,AF,Bagram,OAI
